latitude,longitude,country,numkills
34.516895,69.147014,Afghanistan,40386
41.940549,20.006499,Albania,0
36.37763,3.896235,Algeria,47
-5.57752,12.19271,Angola,24
135,82.8628,Antartica ,0
-34.617678,-58.444436,Argentina,2
40.807399,44.497027,Armenia,6
-38.138255,144.348328,Australia,8
48.485546,13.970145,Austria,9
41.478303,46.620167,Azerbaijan,6
26.230654,50.528118,Bahrain,7
22.655452,89.766153,Bangladesh,133
54.0985,28.3331,Belarus,0
50.897758,4.478382,Belgium,42
11.270459,1.467081,Benin,2
-17.964677,-67.106035,Bolivia,12
44.772181,17.191,Bosnia-Herzegovina,0
-5.824046,-46.16072,Brazil,16
42.697141,23.332389,Bulgaria,0
12.37368,-1.53698,Burkina Faso,1716
-3.375828,29.364107,Burundi,183
12.743628,102.637179,Cambodia,0
12.57511,14.454017,Cameroon,1336
49.282729,-123.120738,Canada,23
5.198482,23.805397,Central African Republic,1239
13.450486,14.733981,Chad,629
-38.735902,-72.590374,Chile,5
34.326221,108.947849,China,31
8.271877,-73.873991,Colombia,574
-12.213814,44.437061,Comoros,0
9.938839,-84.08493,Costa Rica,0
45.816389,15.973889,Croatia,1
35.166281,33.145655,Cyprus,0
50.088136,14.466374,Czech Republic,0
-0.710704,29.055307,Democratic Republic of the Congo,4119
55.672565,12.506293,Denmark,1
12.128099,42.811642,Djibouti,0
15.297283,-61.384877,Dominica,0
18.454394,-69.301685,Dominican Republic,2
0.085103,-76.894016,Ecuador,13
31.126646,33.800864,Egypt,1880
15.291853,38.910667,Eritrea,0
7.919334,33.166788,Ethiopia,1786
62.257094,25.188353,Finland,3
44.93348,4.89236,France,133
0.412811,9.46086,Gabon,2
41.71706,44.783022,Georgia,2
50.029388,8.694832,Germany,46
6.686607,-1.623133,Ghana,8
37.997492,23.762727,Greece,3
14.527587,-90.184622,Guatemala,2
9.640377,-13.577902,Guinea,2
6.800481,-58.167907,Guyana,0
18.204285,-73.75367,Haiti,11
15.657635,-85.996848,Honduras,10
47.505298,19.063486,Hungary,0
32.268717,75.655513,India,1867
-6.914542,107.607839,Indonesia,149
36.158405,45.47599,Iran,160
33.303567,44.371771,Iraq,21651
53.716085,-6.350156,Ireland,2
32.08297,34.811886,Israel,47
43.089292,12.440992,Italy,1
5.19519,-3.738486,Ivory Coast,43
18.02143,-76.798277,Jamaica,0
35.61361,139.213193,Japan,19
30.318373,36.177483,Jordan,46
50.291966,57.210573,Kazakhstan,10
-1.717706,40.966872,Kenya,436
42.64601,21.122523,Kosovo,1
29.347701,47.949118,Kuwait,1
42.881778,74.522733,Kyrgyzstan,2
18.944451,102.946212,Laos,4
57.421869,25.902569,Latvia,0
34.184603,36.424013,Lebanon,62
6.313432,-10.801395,Liberia,0
32.069287,20.151145,Libya,1269
54.678896,25.278244,Lithuania,0
41.029677,21.329216,Macedonia,0
-18.885671,47.508818,Madagascar,3
-11.407376,33.987129,Malawi,0
5.642885,100.489173,Malaysia,14
3.607756,72.955585,Maldives,1
16.757752,-2.999362,Mali,2521
35.890332,14.430633,Malta,1
24.577377,-9.901813,Mauritania,0
18.846659,-97.101754,Mexico,93
47.010453,28.86381,Moldova,0
42.436904,19.251258,Montenegro,1
31.137745,-7.919794,Morocco,2
-19.349359,34.267474,Mozambique,1266
19.793467,93.993765,Myanmar,453
26.61635,86.702071,Nepal,17
52.213409,6.892932,Netherlands,5
-21.394364,165.826106,New Caledonia,0
-37.957009,176.986756,New Zealand,51
12.103822,-86.267015,Nicaragua,10
16.225015,13.289759,Niger,1148
7.967393,8.054414,Nigeria,10380
59.912178,10.762815,Norway,1
34.146579,71.743538,Pakistan,3625
7.901095,-77.51498,Panama,0
-6.066667,144.25,Papua New Guinea,0
-23.459099,-56.738404,Paraguay,17
-4.22293,-77.239048,Peru,24
13.735085,123.416094,Philippines,2034
51.10908,17.034502,Poland,0
38.712491,-9.153981,Portugal,0
-4.225356,15.25106,Republic of the Congo,31
42.235782,48.039451,Russia,170
-1.572625,29.37576,Rwanda,40
18.223462,42.526052,Saudi Arabia,225
12.480265,-16.279773,Senegal,18
44.786568,20.448922,Serbia,0
8.363261,-13.0798,Sierra Leone,1
48.156876,17.113686,Slovak Republic,2
2.059818,45.326114,Somalia,6389
-28.308673,31.41589,South Africa,83
36.119485,128.344573,South Korea,0
8.40809,33.187128,South Sudan,1434
40.465597,-3.696263,Spain,22
7.19522,79.860072,Sri Lanka,270
13.769484,-60.943416,St. Lucia,0
12.167309,31.303206,Sudan,525
57.721185,12.939799,Sweden,5
46.204391,6.143158,Switzerland,1
34.73133,36.710204,Syria,8465
25.046689,121.539533,Taiwan,0
37.842354,70.046287,Tajikistan,85
-6.187404,39.223653,Tanzania,50
6.719201,101.417104,Thailand,351
10.55754,-61.37498,Trinidad and Tobago,0
34.533023,8.366422,Tunisia,106
37.332346,42.185474,Turkey,1457
2.779159,32.298282,Uganda,121
48.3071,38.029633,Ukraine,128
54.356102,-6.276561,United Kingdom,64
43.278717,-118.583529,United States,276
-32.317808,-58.076822,Uruguay,1
7.924669,-72.444445,Venezuela,62
10.957413,106.842687,Vietnam,0
31.530243,35.094162,West Bank and Gaza Strip,226
26.158488,-10.559147,Western Sahara,0
13.659076,46.030868,Yemen,6178
-15.418939,28.276133,Zambia,0
-17.832667,30.933316,Zimbabwe,3